SupplierIdCC;IdCC;ClassCodedName;SupplierIdPR;IdPR;IrdiCC;IrdiPR
;ACL455006;19010201;;AAO735002;0173-1#01-ACL455#006;0173-1#02-AAO735#002
;ACL455006;19010201;;AAF508001;0173-1#01-ACL455#006;0173-1#02-AAF508#001
;ACL455006;19010201;;AAO187001;0173-1#01-ACL455#006;0173-1#02-AAO187#001
;ACL455006;19010201;;AAO188001;0173-1#01-ACL455#006;0173-1#02-AAO188#001
;ACL455006;19010201;;AAO190001;0173-1#01-ACL455#006;0173-1#02-AAO190#001
;ACL455006;19010201;;AAO192001;0173-1#01-ACL455#006;0173-1#02-AAO192#001
;ACL455006;19010201;;AAO193001;0173-1#01-ACL455#006;0173-1#02-AAO193#001
;ACL455006;19010201;;AAO221001;0173-1#01-ACL455#006;0173-1#02-AAO221#001
;ACL455006;19010201;;AAO222002;0173-1#01-ACL455#006;0173-1#02-AAO222#002
;ACL455006;19010201;;AAO223001;0173-1#01-ACL455#006;0173-1#02-AAO223#001
;ACL455006;19010201;;AAO663001;0173-1#01-ACL455#006;0173-1#02-AAO663#001
;ACL455006;19010201;;AAF507001;0173-1#01-ACL455#006;0173-1#02-AAF507#001
;ACL455006;19010201;;AAO677001;0173-1#01-ACL455#006;0173-1#02-AAO677#001
;ACL455006;19010201;;AAO189001;0173-1#01-ACL455#006;0173-1#02-AAO189#001
;ACL455006;19010201;;AAO736002;0173-1#01-ACL455#006;0173-1#02-AAO736#002
;ACL455006;19010201;;AAO847002;0173-1#01-ACL455#006;0173-1#02-AAO847#002
;ACL455006;19010201;;AAP805001;0173-1#01-ACL455#006;0173-1#02-AAP805#001
;ACL455006;19010201;;AAQ326001;0173-1#01-ACL455#006;0173-1#02-AAQ326#001
;ACL455006;19010201;;AAR526001;0173-1#01-ACL455#006;0173-1#02-AAR526#001
;ACL455006;19010201;;AAR527001;0173-1#01-ACL455#006;0173-1#02-AAR527#001
;ACL455006;19010201;;AAR528001;0173-1#01-ACL455#006;0173-1#02-AAR528#001
;ACL455006;19010201;;AAR529001;0173-1#01-ACL455#006;0173-1#02-AAR529#001
;ACL455006;19010201;;BAD875004;0173-1#01-ACL455#006;0173-1#02-BAD875#004
;ACL455006;19010201;;AAD931002;0173-1#01-ACL455#006;0173-1#02-AAD931#002
;ACL455006;19010201;;AAO676002;0173-1#01-ACL455#006;0173-1#02-AAO676#002
;ACL455006;19010201;;AAO191001;0173-1#01-ACL455#006;0173-1#02-AAO191#001
;ACL457006;19010290;;BAF239005;0173-1#01-ACL457#006;0173-1#02-BAF239#005
;ACL457006;19010290;;BAE604005;0173-1#01-ACL457#006;0173-1#02-BAE604#005
;ACL457006;19010290;;BAE711002;0173-1#01-ACL457#006;0173-1#02-BAE711#002
;ACL457006;19010290;;BAE717003;0173-1#01-ACL457#006;0173-1#02-BAE717#003
;ACL457006;19010290;;BAE830002;0173-1#01-ACL457#006;0173-1#02-BAE830#002
;ACL457006;19010290;;BAE862005;0173-1#01-ACL457#006;0173-1#02-BAE862#005
;ACL457006;19010290;;BAE864005;0173-1#01-ACL457#006;0173-1#02-BAE864#005
;ACL457006;19010290;;BAE926003;0173-1#01-ACL457#006;0173-1#02-BAE926#003
;ACL457006;19010290;;BAF046006;0173-1#01-ACL457#006;0173-1#02-BAF046#006
;ACL457006;19010290;;BAF068002;0173-1#01-ACL457#006;0173-1#02-BAF068#002
;ACL457006;19010290;;BAF128002;0173-1#01-ACL457#006;0173-1#02-BAF128#002
;ACL457006;19010290;;BAE156002;0173-1#01-ACL457#006;0173-1#02-BAE156#002
;ACL457006;19010290;;BAF172002;0173-1#01-ACL457#006;0173-1#02-BAF172#002
;ACL457006;19010290;;BAF340005;0173-1#01-ACL457#006;0173-1#02-BAF340#005
;ACL457006;19010290;;BAD875004;0173-1#01-ACL457#006;0173-1#02-BAD875#004
;ACL457006;19010290;;BAF458003;0173-1#01-ACL457#006;0173-1#02-BAF458#003
;ACL457006;19010290;;BAF502004;0173-1#01-ACL457#006;0173-1#02-BAF502#004
;ACL457006;19010290;;BAF580002;0173-1#01-ACL457#006;0173-1#02-BAF580#002
;ACL457006;19010290;;BAF707005;0173-1#01-ACL457#006;0173-1#02-BAF707#005
;ACL457006;19010290;;BAF734005;0173-1#01-ACL457#006;0173-1#02-BAF734#005
;ACL457006;19010290;;BAF752005;0173-1#01-ACL457#006;0173-1#02-BAF752#005
;ACL457006;19010290;;BAG017005;0173-1#01-ACL457#006;0173-1#02-BAG017#005
;ACL457006;19010290;;BAG249005;0173-1#01-ACL457#006;0173-1#02-BAG249#005
;ACL457006;19010290;;BAG053005;0173-1#01-ACL457#006;0173-1#02-BAG053#005
;ACL457006;19010290;;BAF141002;0173-1#01-ACL457#006;0173-1#02-BAF141#002
;ACL457006;19010290;;AAO847002;0173-1#01-ACL457#006;0173-1#02-AAO847#002
;ACL457006;19010290;;BAD335005;0173-1#01-ACL457#006;0173-1#02-BAD335#005
;ACL457006;19010290;;BAA261002;0173-1#01-ACL457#006;0173-1#02-BAA261#002
;ACL457006;19010290;;BAF478002;0173-1#01-ACL457#006;0173-1#02-BAF478#002
;ACL457006;19010290;;AAC860004;0173-1#01-ACL457#006;0173-1#02-AAC860#004
;ACL457006;19010290;;AAQ326001;0173-1#01-ACL457#006;0173-1#02-AAQ326#001
;ACL457006;19010290;;AAP805001;0173-1#01-ACL457#006;0173-1#02-AAP805#001
;ACL457006;19010290;;AAP783001;0173-1#01-ACL457#006;0173-1#02-AAP783#001
;ACL457006;19010290;;AAO736002;0173-1#01-ACL457#006;0173-1#02-AAO736#002
;ACL457006;19010290;;AAO735002;0173-1#01-ACL457#006;0173-1#02-AAO735#002
;ACL457006;19010290;;AAO677001;0173-1#01-ACL457#006;0173-1#02-AAO677#001
;ACL457006;19010290;;AAO676002;0173-1#01-ACL457#006;0173-1#02-AAO676#002
;ACL457006;19010290;;AAO663001;0173-1#01-ACL457#006;0173-1#02-AAO663#001
;ACL457006;19010290;;AAO223001;0173-1#01-ACL457#006;0173-1#02-AAO223#001
;ACL457006;19010290;;AAO188001;0173-1#01-ACL457#006;0173-1#02-AAO188#001
;ACL457006;19010290;;AAO221001;0173-1#01-ACL457#006;0173-1#02-AAO221#001
;ACL457006;19010290;;AAO193001;0173-1#01-ACL457#006;0173-1#02-AAO193#001
;ACL457006;19010290;;AAO192001;0173-1#01-ACL457#006;0173-1#02-AAO192#001
;ACL457006;19010290;;AAO191001;0173-1#01-ACL457#006;0173-1#02-AAO191#001
;ACL457006;19010290;;AAO190001;0173-1#01-ACL457#006;0173-1#02-AAO190#001
;ACL457006;19010290;;AAO189001;0173-1#01-ACL457#006;0173-1#02-AAO189#001
;ACL457006;19010290;;AAF508001;0173-1#01-ACL457#006;0173-1#02-AAF508#001
;ACL457006;19010290;;AAF507001;0173-1#01-ACL457#006;0173-1#02-AAF507#001
;ACL457006;19010290;;AAO187001;0173-1#01-ACL457#006;0173-1#02-AAO187#001
;ACL457006;19010290;;AAP802001;0173-1#01-ACL457#006;0173-1#02-AAP802#001
;ACL457006;19010290;;AAO222002;0173-1#01-ACL457#006;0173-1#02-AAO222#002
;ACL457006;19010290;;AAD931002;0173-1#01-ACL457#006;0173-1#02-AAD931#002
;AEI956001;19010202;;AAO677001;0173-1#01-AEI956#001;0173-1#02-AAO677#001
;AEI956001;19010202;;AAO676002;0173-1#01-AEI956#001;0173-1#02-AAO676#002
;AEI956001;19010202;;AAO679002;0173-1#01-AEI956#001;0173-1#02-AAO679#002
;AEI956001;19010202;;AAO500002;0173-1#01-AEI956#001;0173-1#02-AAO500#002
;AEI956001;19010202;;AAO499002;0173-1#01-AEI956#001;0173-1#02-AAO499#002
;AEI956001;19010202;;AAO223001;0173-1#01-AEI956#001;0173-1#02-AAO223#001
;AEI956001;19010202;;AAO663001;0173-1#01-AEI956#001;0173-1#02-AAO663#001
;AEI956001;19010202;;AAO735002;0173-1#01-AEI956#001;0173-1#02-AAO735#002
;AEI956001;19010202;;AAO736002;0173-1#01-AEI956#001;0173-1#02-AAO736#002
;AEI956001;19010202;;AAO847002;0173-1#01-AEI956#001;0173-1#02-AAO847#002
;AEI956001;19010202;;AAQ326001;0173-1#01-AEI956#001;0173-1#02-AAQ326#001
;AEI956001;19010202;;AAR395001;0173-1#01-AEI956#001;0173-1#02-AAR395#001
;AEI956001;19010202;;AAR410001;0173-1#01-AEI956#001;0173-1#02-AAR410#001
;AEI956001;19010202;;AAR530001;0173-1#01-AEI956#001;0173-1#02-AAR530#001
;AEI956001;19010202;;AAO222002;0173-1#01-AEI956#001;0173-1#02-AAO222#002
;AEI956001;19010202;;AAR411001;0173-1#01-AEI956#001;0173-1#02-AAR411#001
;AEI956001;19010202;;AAF507001;0173-1#01-AEI956#001;0173-1#02-AAF507#001
;AEI956001;19010202;;AAP805001;0173-1#01-AEI956#001;0173-1#02-AAP805#001
;AEI956001;19010202;;AAM372001;0173-1#01-AEI956#001;0173-1#02-AAM372#001
;AEI956001;19010202;;AAR561001;0173-1#01-AEI956#001;0173-1#02-AAR561#001
;AEI956001;19010202;;AAR531001;0173-1#01-AEI956#001;0173-1#02-AAR531#001
;AEI956001;19010202;;AAB607004;0173-1#01-AEI956#001;0173-1#02-AAB607#004
;AEI956001;19010202;;AAC863004;0173-1#01-AEI956#001;0173-1#02-AAC863#004
;AEI956001;19010202;;AAD931002;0173-1#01-AEI956#001;0173-1#02-AAD931#002
;AEI956001;19010202;;AAF391002;0173-1#01-AEI956#001;0173-1#02-AAF391#002
;AEI956001;19010202;;AAG546001;0173-1#01-AEI956#001;0173-1#02-AAG546#001
;AEI956001;19010202;;AAG599001;0173-1#01-AEI956#001;0173-1#02-AAG599#001
;AEI956001;19010202;;AAO221001;0173-1#01-AEI956#001;0173-1#02-AAO221#001
;AEI956001;19010202;;AAO187001;0173-1#01-AEI956#001;0173-1#02-AAO187#001
;AEI956001;19010202;;AAO188001;0173-1#01-AEI956#001;0173-1#02-AAO188#001
;AEI956001;19010202;;AAO189001;0173-1#01-AEI956#001;0173-1#02-AAO189#001
;AEI956001;19010202;;AAO190001;0173-1#01-AEI956#001;0173-1#02-AAO190#001
;AEI956001;19010202;;AAO191001;0173-1#01-AEI956#001;0173-1#02-AAO191#001
;AEI956001;19010202;;AAO192001;0173-1#01-AEI956#001;0173-1#02-AAO192#001
;AEI956001;19010202;;AAO193001;0173-1#01-AEI956#001;0173-1#02-AAO193#001
;AEI956001;19010202;;AAF508001;0173-1#01-AEI956#001;0173-1#02-AAF508#001
;AEI956001;19010202;;AAR584001;0173-1#01-AEI956#001;0173-1#02-AAR584#001
;AEI956001;19010202;;AAR557001;0173-1#01-AEI956#001;0173-1#02-AAR557#001
;AEI956001;19010202;;AAR569001;0173-1#01-AEI956#001;0173-1#02-AAR569#001
