Supplier;IdPR;Identifier;VersionNumber;VersionDate;RevisionNumber;PreferredName;ShortName;Definition;Note;Remark;FormularSymbol;IrdiUN;ISOLanguageCode;ISOCountryCode;Category;AttributeType;Reference;DefinitionClass;DataType;DigitsBeforeComma;DigitsAfterComma;NumberOfCharacters;IrdiPR;CurrencyAlphaCode
0173-1;AAB607004;AAB607;4,00;;1,00;WLAN 802.11 standard possible;---empty---;Function for cyclic monitoring of transmission path;---empty---;---empty---;;;de;DE;A56;INDIRECT;---empty---;0173-1#01-RAA001#001;BOOLEAN;;;;0173-1#02-AAB607#004;
0173-1;AAC860004;AAC860;4,00;;1,00;Min. capacity of hard disc storage;---empty---;Required minimum capacity of available hard disc storage;---empty---;---empty---;;0173-1#05-AAA042#003;de;DE;J01;DIRECT;---empty---;0173-1#01-RAA001#001;INTEGER_MEASURE;8,00;;;0173-1#02-AAC860#004;
0173-1;AAC863004;AAC863;4,00;;1,00;Max. installable main storage capacity.;---empty---;Quantitative statement about the largest number of installable main storage volumes;---empty---;---empty---;;0173-1#05-AAA042#003;de;DE;J01;DIRECT;---empty---;0173-1#01-RAA001#001;INTEGER_MEASURE;8,00;;;0173-1#02-AAC863#004;
0173-1;AAD931002;AAD931;2,00;;2,00;customs tariff number (TARIC);TARIC;EU uniformed number system conforming regulation (EWG) No. 2658/87 from 23 july 1987 concerning custom numbers and customs;---empty---;---empty---;;;de;DE;A51;DIRECT;---empty---;0173-1#01-RAA001#001;INTEGER_COUNT;11,00;;;0173-1#02-AAD931#002;
0173-1;AAF391002;AAF391;2,00;;1,00;battery charging time;CHARGING_TIME;time needed to fully recharge the rechargable battery from empty to full capacity;---empty---;---empty---;;0173-1#05-AAA390#002;de;DE;T07;DIRECT;---empty---;0173-1#01-RAA001#001;REAL_MEASURE;1,00;;;0173-1#02-AAF391#002;
0173-1;AAF507001;AAF507;1,00;;8,00;REACH registration present;---empty---;whether the information on a substance‘s characteristics, its usage and risks for mankind and environment according to the REACH regulation is provided;---empty---;---empty---;;;de;DE;;INDIRECT;EG No. 1907/2006;0173-1#01-RAA001#001;BOOLEAN;;;;0173-1#02-AAF507#001;
0173-1;AAF508001;AAF508;1,00;;8,00;SVHC included;---empty---;whether a product contains an SVHC (substance of very high concern) in a concentration of >0,1% according to the currently valid SVHC candidate list by REACH;---empty---;---empty---;;;de;DE;;INDIRECT;EG No. 1907/2006;0173-1#01-RAA001#001;BOOLEAN;;;;0173-1#02-AAF508#001;
0173-1;AAG546001;AAG546;1,00;;8,00;number of HDMI-connections;---empty---;quantitative specification of interfaces for fully-digital transfer of audio data and video data to other devices;---empty---;---empty---;;;de;DE;;DIRECT;---empty---;0173-1#01-RAA001#001;INTEGER_COUNT;4,00;;;0173-1#02-AAG546#001;
0173-1;AAG599001;AAG599;1,00;;8,00;max. data transmission rate;---empty---;maximum data transmission proportionally to a time unit;---empty---;---empty---;;0173-1#05-AAA623#002;de;DE;J05;DIRECT;---empty---;0173-1#01-RAA001#001;INTEGER_MEASURE;4,00;;;0173-1#02-AAG599#001;
0173-1;AAM372001;AAM372;1,00;;8,00;screen diagonal;---empty---;size of monitors (displays, computer monitors, TV screens), measured from the upper left to lower right corners;---empty---;---empty---;;0173-1#05-AAA480#002;de;DE;T03;DIRECT;---empty---;0173-1#01-RAA001#001;INTEGER_MEASURE;4,00;;;0173-1#02-AAM372#001;
0173-1;AAO187001;AAO187;1,00;;8,00;Description of SVHC substance;---empty---;describes the forbidden substance;---empty---;---empty---;;;de;DE;;DIRECT;---empty---;0173-1#01-RAA001#001;STRING_TRANSLATABLE;;;;0173-1#02-AAO187#001;
0173-1;AAO188001;AAO188;1,00;;8,00;Weight of the contained material;---empty---;Masses of the forbidden substance;---empty---;---empty---;;0173-1#05-AAA129#002;de;DE;;DIRECT;---empty---;0173-1#01-RAA001#001;REAL_MEASURE;;;;0173-1#02-AAO188#001;
0173-1;AAO189001;AAO189;1,00;;8,00;On-line reference info REACH;---empty---;Indication to information office for manufacturer, importers and users of chemical materials;---empty---;---empty---;;;de;DE;;DIRECT;---empty---;0173-1#01-RAA001#001;STRING_TRANSLATABLE;;;;0173-1#02-AAO189#001;
0173-1;AAO190001;AAO190;1,00;;8,00;On-line reference security data sheet;---empty---;Security indications for the contact with dangerous substances;---empty---;---empty---;;;de;DE;;DIRECT;---empty---;0173-1#01-RAA001#001;STRING_TRANSLATABLE;;;;0173-1#02-AAO190#001;
0173-1;AAO191001;AAO191;1,00;;8,00;RoHS attention of conformity;---empty---;EC directive in 2002 / 95 / the EC for the limitation of the use(application) of certain dangerous materials;---empty---;---empty---;;;de;DE;;INDIRECT;---empty---;0173-1#01-RAA001#001;BOOLEAN;;;;0173-1#02-AAO191#001;
0173-1;AAO192001;AAO192;1,00;;8,00;description of battery;---empty---;describes the chemical composition;---empty---;---empty---;;;de;DE;;DIRECT;---empty---;0173-1#01-RAA001#001;STRING;;;;0173-1#02-AAO192#001;
0173-1;AAO193001;AAO193;1,00;;8,00;Categorie;---empty---;describes the area of application of the battery;---empty---;---empty---;;;de;DE;;DIRECT;---empty---;0173-1#01-RAA001#001;STRING;;;;0173-1#02-AAO193#001;
0173-1;AAO221001;AAO221;1,00;;8,00;Product check date according to RoHS;---empty---;Date when the product was checked according to RoHS conformity;---empty---;---empty---;;;de;DE;;DIRECT;---empty---;0173-1#01-RAA001#001;DATE;;;;0173-1#02-AAO221#001;
0173-1;AAO222002;AAO222;2,00;;1,00;Product check date according to SVHC;---empty---;Date when the product was checked according to SVHC;---empty---;---empty---;;;de;DE;;DIRECT;---empty---;0173-1#01-RAA001#001;DATE;;;;0173-1#02-AAO222#002;
0173-1;AAO223001;AAO223;1,00;;8,00;Type of Battery;---empty---;group of batteries with comparable attributes;---empty---;---empty---;;;de;DE;;DIRECT;---empty---;0173-1#01-RAA001#001;STRING;;;;0173-1#02-AAO223#001;
0173-1;AAO499002;AAO499;2,00;;1,00;Number of HW interfaces PS2;---empty---;Quantitative statement about the set of HW interfaces PS2;---empty---;---empty---;;;de;DE;Q56;DIRECT;---empty---;0173-1#01-RAA001#001;INTEGER_COUNT;4,00;;;0173-1#02-AAO499#002;
