Supplier;IdVA;Identifier;VersionNumber;RevisionNumber;VersionDate;PreferredName;ShortName;Definition;Reference;ISOLanguageCode;ISOCountryCode;IrdiVA;DataType
0173-1;AAB851001;AAB851;1,00;8,00;;IEEE 802.11d;---empty---;---empty---;---empty---;de;DE;0173-1#07-AAB851#001;STRING
0173-1;AAB852001;AAB852;1,00;8,00;;IEEE 802.11e;---empty---;---empty---;---empty---;de;DE;0173-1#07-AAB852#001;STRING
0173-1;AAB853001;AAB853;1,00;8,00;;IEEE 802.11f;---empty---;---empty---;---empty---;de;DE;0173-1#07-AAB853#001;STRING
0173-1;AAB854001;AAB854;1,00;8,00;;IEEE 802.11i;---empty---;---empty---;---empty---;de;DE;0173-1#07-AAB854#001;STRING
0173-1;AAB855001;AAB855;1,00;8,00;;IEEE 802.11j;---empty---;---empty---;---empty---;de;DE;0173-1#07-AAB855#001;STRING
0173-1;AAB856001;AAB856;1,00;8,00;;IEEE 802.11n;---empty---;---empty---;---empty---;de;DE;0173-1#07-AAB856#001;STRING
0173-1;AAC097001;AAC097;1,00;8,00;;10 Mbit;---empty---;---empty---;---empty---;de;DE;0173-1#07-AAC097#001;STRING
0173-1;AAC135001;AAC135;1,00;8,00;;10/100 Mbit;---empty---;---empty---;---empty---;de;DE;0173-1#07-AAC135#001;STRING
0173-1;AAC136001;AAC136;1,00;8,00;;10/100/1000 Mbit;---empty---;---empty---;---empty---;de;DE;0173-1#07-AAC136#001;STRING
0173-1;AAC167001;AAC167;1,00;8,00;;1024x768;---empty---;---empty---;---empty---;de;DE;0173-1#07-AAC167#001;STRING
0173-1;AAC218001;AAC218;1,00;8,00;;1280x768;---empty---;---empty---;---empty---;de;DE;0173-1#07-AAC218#001;STRING
0173-1;AAC228001;AAC228;1,00;8,00;;1366x768;---empty---;---empty---;---empty---;de;DE;0173-1#07-AAC228#001;STRING
0173-1;AAC234001;AAC234;1,00;8,00;;1440x900;---empty---;---empty---;---empty---;de;DE;0173-1#07-AAC234#001;STRING
0173-1;AAC254001;AAC254;1,00;8,00;;1680x1050;---empty---;---empty---;---empty---;de;DE;0173-1#07-AAC254#001;STRING
0173-1;AAC266001;AAC266;1,00;8,00;;1920x1080;---empty---;---empty---;---empty---;de;DE;0173-1#07-AAC266#001;STRING
0173-1;AAC994001;AAC994;1,00;8,00;;640x480;---empty---;---empty---;---empty---;de;DE;0173-1#07-AAC994#001;STRING
